Index,symbol,company_Name,macro,sector,industry,basic_Industry, last_Price , total_Market_Cap , free_float
379,CUPID,Cupid Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care," 1,779.90 "," 237,403.06 "," 121,075.56 "
30,ACCELYA,Accelya Solutions India Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting," 1,839.00 "," 274,493.94 "," 68,623.48 "
530,FILATEX,Filatex India Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 61.35 ," 272,305.35 "," 95,306.87 "
339,CIGNITITEC,Cigniti Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services, 985.15 ," 268,946.78 "," 161,368.07 "
627,GREENPLY,Greenply Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates, 235.00 ," 290,672.43 "," 139,522.77 "
642,GTLINFRA,GTL Infrastructure Limited,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure, 1.75 ," 224,122.87 "," 217,399.18 "
1022,MAHLOG,Mahindra Logistics Limited,Services,Services,Transport Services,Logistics Solution Provider, 431.80 ," 311,052.10 "," 130,641.88 "
1664,SWARAJENG,Swaraj Engines Limited,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines," 2,252.00 "," 273,556.18 "," 128,571.41 "
533,FINOPB,Fino Payments Bank Limited,Financial Services,Financial Services,Banks,Other Bank, 323.00 ," 268,782.20 "," 67,195.55 "
681,HERITGFOOD,Heritage Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products, 329.70 ," 305,948.41 "," 140,736.27 "
241,BFUTILITIE,BF Utilities Limited,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity, 590.30 ," 222,352.01 "," 86,717.28 "
430,DIAMONDYD,Prataap Snacks Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods," 1,297.00 "," 309,458.91 "," 92,837.67 "
175,AUTOAXLES,Automotive Axles Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments," 2,118.00 "," 320,071.63 "," 92,820.77 "
416,DEN,Den Networks Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production, 59.30 ," 282,993.74 "," 70,748.44 "
1692,TATVA,Tatva Chintan Pharma Chem Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals," 1,370.00 "," 320,471.15 "," 89,731.92 "
1823,VENUSPIPES,Venus Pipes & Tubes Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products," 1,437.00 "," 291,655.10 "," 148,744.10 "
529,FIEMIND,Fiem Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments," 2,368.50 "," 311,690.57 "," 102,857.89 "
107,ANUP,The Anup Engineering Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products," 2,974.00 "," 294,757.60 "," 168,011.83 "
195,BAJAJCON,Bajaj Consumer Care Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care, 216.95 ," 309,427.11 "," 188,750.54 "
628,GREENPOWER,Orient Green Power Company Limited,Utilities,Power,Power,Power Generation, 23.15 ," 227,037.60 "," 152,115.19 "
817,ISMTLTD,ISMT Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products, 96.70 ," 290,584.84 "," 61,022.82 "
178,AVALON,Avalon Technologies Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment, 526.40 ," 345,507.35 "," 107,107.28 "
1723,THYROCARE,Thyrocare Technologies Limited,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider, 625.00 ," 330,954.23 "," 95,976.73 "
840,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances," 1,154.40 "," 313,891.56 "," 78,472.89 "
491,EMSLIMITED,EMS Limited,Utilities,Utilities,Other Utilities,Waste Management, 455.60 ," 252,998.36 "," 48,069.69 "
144,ASHIANA,Ashiana Housing Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects, 312.00 ," 313,637.55 "," 109,773.14 "
738,IDEAFORGE,Ideaforge Technology Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense, 723.45 ," 310,185.19 "," 117,870.37 "
397,DCAL,Dishman Carbogen Amcis Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 189.65 ," 297,339.14 "," 121,909.05 "
306,CARTRADE,Cartrade Tech Limited,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce, 743.00 ," 348,101.57 "," 160,126.72 "
386,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar, 397.10 ," 321,409.97 "," 73,924.29 "
187,AXISCADES,AXISCADES Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services, 803.00 ," 335,495.35 "," 114,068.42 "
598,GMRP&UI,GMR Power and Urban Infra Limited,Industrials,Construction,Construction,Civil Construction, 50.00 ," 301,797.26 "," 120,718.91 "
701,HINDWAREAP,Hindware Home Innovation Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Sanitary Ware, 470.00 ," 339,793.06 "," 163,100.67 "
644,GUFICBIO,Gufic Biosciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 347.50 ," 348,464.33 "," 80,146.80 "
904,KDDL,KDDL Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches," 2,875.00 "," 360,442.11 "," 176,616.64 "
305,CARERATING,CARE Ratings Limited,Financial Services,Financial Services,Capital Markets,Ratings," 1,027.25 "," 306,550.02 "," 278,960.52 "
1154,NAVNETEDUL,Navneet Education Limited,Consumer Discretionary,Media Entertainment & Publication,Printing & Publication,Printing & Publication, 147.85 ," 334,456.19 "," 120,404.23 "
115,APOLLO,Apollo Micro Systems Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense, 118.70 ," 335,159.97 "," 100,547.99 "
660,HARSHA,Harsha Engineers International Limited,Industrials,Capital Goods,Industrial Products,Other Industrial Products, 408.15 ," 371,596.51 "," 92,899.13 "
521,FCL,Fineotex Chemical Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals, 321.50 ," 356,109.44 "," 124,638.30 "
1169,NEOGEN,Neogen Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals," 1,408.25 "," 371,519.92 "," 133,747.17 "
953,KSCL,Kaveri Seed Company Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products, 671.00 ," 375,235.47 "," 146,341.83 "
143,ASHAPURMIN,Ashapura Minechem Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals, 429.00 ," 392,475.36 "," 215,861.45 "
249,BHARATRAS,Bharat Rasayan Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals," 9,153.80 "," 380,364.92 "," 87,483.93 "
624,GREAVESCOT,Greaves Cotton Limited,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines, 164.80 ," 382,335.95 "," 164,404.46 "
635,GRWRHITECH,Garware Hi-Tech Films Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial," 1,658.15 "," 385,227.94 "," 146,386.62 "
274,BOMDYEING,Bombay Dyeing & Mfg Company Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 179.85 ," 371,453.02 "," 170,868.39 "
791,INOXGREEN,Inox Green Energy Services Limited,Utilities,Utilities,Other Utilities,Other Utilities, 129.50 ," 380,219.77 "," 167,296.70 "
229,BCG,Brightcom Group Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services, 18.60 ," 375,333.47 "," 307,773.44 "
406,DCXINDIA,DCX Systems Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense, 348.00 ," 387,624.77 "," 108,534.93 "
414,DELTACORP,Delta Corp Limited,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation, 138.50 ," 370,862.97 "," 244,769.56 "
492,EMUDHRA,eMudhra Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services, 449.00 ," 371,824.56 "," 100,392.63 "
275,BOROLTD,Borosil Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Glass - Consumer, 353.90 ," 405,506.03 "," 109,486.63 "
94,AMIORG,Ami Organics Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals," 1,086.00 "," 400,522.90 "," 164,214.39 "
504,ESAFSFB,ESAF Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank, 69.50 ," 357,772.00 "," 39,354.92 "
497,EPIGRAL,Epigral Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals, 996.50 ," 414,047.32 "," 120,073.72 "
