Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
2365,JAYANT INFRATECH LIMITED,INE0KR801019,JAYANT,102.09,,,,,102.09,Small Cap
2366,SHRI KRISHNA DEVCON LIMITED,INE997I01012,SHRIKRISH,102,,,,,102,Small Cap
2367,RDB REALTY & INFRASTRUCTURE LIMITED,INE245L01010,RDBRIL,102,,,,,102,Small Cap
2368,KOTHARI FERMANATATION & BIOCHEM LTD,INE991B01010,KFBL,101.94,,,,,101.94,Small Cap
2369,TIRUPATI FORGE LTD.,INE319Y01024,,,TIRUPATIFL,101.6948,,,101.6948,Small Cap
2370,PACIFIC INDUSTRIES LTD.,INE883C01025,PACIFICI,101.62,,,,,101.62,Small Cap
2371,WEP SOLUTIONS LTD,INE434B01029,WEPSOLN,101.55,,,,,101.55,Small Cap
2372,VIRYA RESOURCES LIMITED,INE661K01010,VIRYA,101.06,,,,,101.06,Small Cap
2373,KRANTI INDUSTRIES LIMITED,INE911T01010,KRANTI,101.02,,,,,101.02,Small Cap
2374,Aashrit Capital Limited,INE172F01018,,,,,AASHRIT,100.8788727,100.8788727,Small Cap
2375,PRAKASH STEELAGE LIMITED,INE696K01024,PRAKASHSTL,100.85,PRAKASHSTL,100.5899,,,100.71995,Small Cap
2376,SKIL INFRASTRUCTURE LIMITED,INE429F01012,SKIL,101.02,SKIL,99.8673,,,100.44365,Small Cap
2377,"W.H. BRADY & CO. LTD.,",INE855A01019,WHBRADY,100.41,,,,,100.41,Small Cap
2378,GAYATRI SUGARS LTD.,INE622E01023,GAYATRI,100.33,,,,,100.33,Small Cap
2379,PATDIAM JEWELLERY LIMITED,INE473T01011,PJL,100.32,,,,,100.32,Small Cap
2380,SUNITA TOOLS LIMITED,INE0Q1S01010,SUNITATOOL,100.18,,,,,100.18,Small Cap
2381,INDIA FINSEC LIMITED,INE474O01010,IFINSEC,100.17,,,,,100.17,Small Cap
2382,OIL COUNTRY TUBULAR LTD.,INE591A01010,OILCOUNTUB,99.83,OILCOUNTUB,100.2372,,,100.0336,Small Cap
2383,TOKYO PLAST INTERNATIONAL LTD.,INE932C01012,TOKYOPLAST,100.02,TOKYOPLAST,99.9022,,,99.9611,Small Cap
2384,COMPUAGE INFOCOM LTD,INE070C01037,COMPUAGE,99.87,COMPINFO,99.7261,,,99.79805,Small Cap
2385,GLOBAL OFFSHORE SERVICES LTD,INE446C01013,GLOBOFFS,99.65,,,,,99.65,Small Cap
2386,ADITYA CONSUMER MARKETING LIMITED,INE427V01013,ACML,98.75,,,,,98.75,Small Cap
2387,ADD-SHOP E-RETAIL LIMITED,INE01B501018,ASRL,98.67,,,,,98.67,Small Cap
2388,STEEL CITY SECURITIES LTD.,INE395H01011,,,STEELCITY,98.6633,,,98.6633,Small Cap
2389,TRANSCORP INTERNATIONAL LTD.,INE330E01023,TRANSCOR,98.66,,,,,98.66,Small Cap
2390,KALYAN CAPITALS LIMITED,INE149Q01021,KALYANCAP,98.5,,,,,98.5,Small Cap
2391,KEMP & COMPANY LIMITED,INE060E01018,KEMP,98.17,,,,,98.17,Small Cap
2392,TANVI FOODS (INDIA) LIMITED,INE978V01015,TANVI,98.04,,,,,98.04,Small Cap
2393,PARNAX LAB LIMITED,INE383L01019,PARNAXLAB,97.86,,,,,97.86,Small Cap
2394,PS IT INFRASTRUCTURE & SERVICES LIMITED,INE953M01033,PSITINFRA,97.84,,,,,97.84,Small Cap
2395,AUSOM ENTERPRISE LIMITED,INE218C01016,AUSOMENT,97.75,AUSOMENT,97.3375,,,97.54375,Small Cap
2396,LOHIA SECURITIES LIMITED,INE803B01017,LOHIASEC,97.48,,,,,97.48,Small Cap
2397,"LAKSHMI AUTOMATIC LOOM WORKS LTD.,",INE718M01022,LXMIATO,97.29,,,,,97.29,Small Cap
2398,GARNET INTERNATIONAL LIMITED,INE590B01010,GARNETINT,97.24,,,,,97.24,Small Cap
2399,EKANSH CONCEPTS LIMITED,INE005E01013,EKANSH,97.21,,,,,97.21,Small Cap
2400,MCDOWELL HOLDINGS LIMITED,INE836H01014,MCDHOLDING,96.9,,,,,96.9,Small Cap
2401,EVEREST ORGANICS LTD.,INE334C01029,EVERESTO,96.86,,,,,96.86,Small Cap
2402,TILAK VENTURES LIMITED,INE026L01022,TILAK,96.76,,,,,96.76,Small Cap
2403,HISAR METAL INDUSTRIES LTD.,INE598C01011,HISARMET,96.46,HISARMETAL,96.3456,,,96.4028,Small Cap
2404,MERCURY LABORATORIES LIMITED,INE947G01011,MERCURYLAB,96.31,,,,,96.31,Small Cap
2405,RAJA BAHADUR INTERNATIONAL LTD,INE491N01016,RAJABAH,96.02,,,,,96.02,Small Cap
2406,TEAMO PRODUCTIONS HQ LIMITED,INE065J01024,TPHQ,95.95,TPHQ,95.5884,,,95.7692,Small Cap
2407,DELTA MANUFACTURING LIMITED ,INE393A01011,DELTAMAGNT,95.67,DELTAMAGNT,95.5704,,,95.6202,Small Cap
2408,KOVILPATTI LAKSHMI ROLLER FLOUR MILLS  LTD,INE014E01015,KLRFM,95.61,,,,,95.61,Small Cap
2409,PRERNA INFRABUILD LIMITED,INE426H01014,PRERINFRA,95.57,,,,,95.57,Small Cap
2410,"MYSORE PETRO CHEMICALS LTD.,",INE741A01011,MYSORPETRO,95.45,,,,,95.45,Small Cap
2411,BHEEMA CEMENTS LIMITED,INE333H01020,BHEEMACEM,95.43,,,,,95.43,Small Cap
2412,AHASOLAR TECHNOLOGIES LIMITED,INE0NEV01011,AHASOLAR,95.37,,,,,95.37,Small Cap
2413,EIKO LIFESCIENCES LIMITED,INE666Q01016,EIKO,95.2816550321379,,,,,95.2816550321379,Small Cap
2414,SHRADDHA PRIME PROJECTS LTD,INE311M01018,SHRADDHA,95.22,,,,,95.22,Small Cap
2415,SWASTIKA INVESTMART LTD,INE691C01014,SWASTIKA,95.13,,,,,95.13,Small Cap
2416,ZEAL AQUA LIMITED,INE819S01025,ZEAL,94.92,,,,,94.92,Small Cap
2417,SETCO AUTOMOTIVE LIMITED,INE878E01021,SETCO,94.93,SETCO,94.8453,,,94.88765,Small Cap
2418,HALDER VENTURE LIMITED,INE115S01010,HALDER,94.84,,,,,94.84,Small Cap
2419,"BRIGHT BROTHERS LTD.,",INE630D01010,BRIGHTBR,94.75,,,,,94.75,Small Cap
2420,LANDMARK PROPERTY DEVELOPMENT COMPANY LTD.,INE197J01017,LPDC,94.47,LPDC,94.2626,,,94.3663,Small Cap
2421,B & A LTD.,INE489D01011,BNALTD,94.07,,,,,94.07,Small Cap
2422,VIPPY SPINPRO LTD.,INE660D01017,VIPPYSP,94.02,,,,,94.02,Small Cap
2423,SAGARSOFT (INDIA) LIMITED,INE184B01012,SAGARSOFT,94.02,,,,,94.02,Small Cap
2424,GACM TECHNOLOGIES LIMITED,INE224E01028,GATECH,98.01,GATECH,89.9955,,,94.00275,Small Cap
2425,NANDANI CREATION LTD.,INE696V01013,,,JAIPURKURT,93.9142,,,93.9142,Small Cap
2426,ATLAS JEWELLERY INDIA LIMITED,INE022N01019,AJIL,93.31,,,,,93.31,Small Cap
2427,PANACHE DIGILIFE LTD.,INE895W01019,,,PANACHE,93.1539,,,93.1539,Small Cap
2428,ENERGY DEVELOPMENT COMPANY LTD.,INE306C01019,ENERGYDEV,93.16,ENERGYDEV,93.0808,,,93.1204,Small Cap
2429,"PEE CEE COSMA SOPE LTD.,",INE417E01010,PCCOSMA,92.89,,,,,92.89,Small Cap
2430,DIGJAM LIMITED,INE731U01028,DIGJAMLTD,168.33,DIGJAMLMTD,16.8627,,,92.59635,Small Cap
