"Index","symbol","company_Name","is_in_FNO","macro","sector","industry","basic_Industry","last_Price","vwap","total_Market_Cap","free_float","sector_member","date"
"1655","SUNTV","Sun TV Network Limited","true","Consumer Discretionary","Media Entertainment & Publication","Entertainment","TV Broadcasting & Software Production","625.95","626.12","2466772.68","518022.26","NIFTY MEDIA","16FEB2024"
"1656","SUPERHOUSE","Superhouse Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Leather And Leather Products","221","220.01","24365.25","8771.49","NIFTY 500","16FEB2024"
"1657","SUPERSPIN","Super Spinning Mills Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","9.2","9.17","5060","2884.2","NIFTY 500","16FEB2024"
"1658","SUPRAJIT","Suprajit Engineering Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","383","385.19","530202.62","291611.44","NIFTY AUTO","16FEB2024"
"1659","SUPREMEIND","Supreme Industries Limited","false","Industrials","Capital Goods","Industrial Products","Plastic Products - Industrial","3964","3921.74","5035345.13","2568026.01","NIFTY 500","16FEB2024"
"1660","SUPRIYA","Supriya Lifescience Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","362.7","367.36","291911.12","93411.56","","16FEB2024"
"1661","SURAJEST","Suraj Estate Developers Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","343.9","346.79","152557.86","27460.41","NA","16FEB2024"
"1662","SURANASOL","Surana Solar Limited","false","Industrials","Capital Goods","Electrical Equipment","Heavy Electrical Equipment","0","0","15819.92","0","NIFTY 500","16FEB2024"
"1663","SURANAT&P","Surana Telecom and Power Limited","false","Utilities","Power","Power","Power Generation","18.5","18.34","25115.59","5776.59","NIFTY 500","16FEB2024"
"1664","SURYALAXMI","Suryalakshmi Cotton Mills Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","79","78.67","14856.18","5645.35","NIFTY 500","16FEB2024"
"1665","SURYAROSNI","Surya Roshni Limited","false","Industrials","Capital Goods","Industrial Products","Iron & Steel Products","629","648.35","684464.89","246407.36","NIFTY METAL","16FEB2024"
"1666","SURYODAY","Suryoday Small Finance Bank Limited","false","Financial Services","Financial Services","Banks","Other Bank","172.1","173.74","182707.47","82218.36","","16FEB2024"
"1667","SUTLEJTEX","Sutlej Textiles and Industries Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","68.65","67.66","112468.35","30366.45","NIFTY 500","16FEB2024"
"1668","SUULD","Suumaya Industries Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Agricultural Food & other Products","Other Agricultural Products","9.1","0","5711.19","0","","16FEB2024"
"1669","SUVEN","Suven Life Sciences Limited","false","Healthcare","Healthcare","Healthcare Services","Healthcare Research Analytics & Technology","108","108.36","235519.61","68300.69","NIFTY PHARMA","16FEB2024"
"1670","SUVENPHAR","Suven Pharmaceuticals Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","671","670.06","1708130.85","683252.34","","16FEB2024"
"1671","SUVIDHAA","Suvidhaa Infoserve Limited","false","Financial Services","Financial Services","Financial Technology (Fintech)","Financial Technology (Fintech)","7.2","6.99","14936.31","8812.42","","16FEB2024"
"1672","SUZLON","Suzlon Energy Limited","false","Industrials","Capital Goods","Electrical Equipment","Heavy Electrical Equipment","46.6","46.76","6335534.65","0","NIFTY 500","16FEB2024"
"1673","SVLL","Shree Vasu Logistics Limited","false","Services","Services","Transport Services","Logistics Solution Provider","248.75","244.22","28521.68","7700.85","","16FEB2024"
"1674","SVPGLOB","SVP GLOBAL TEXTILES LIMITED","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","9.15","9","11574.75","5440.13","","16FEB2024"
"1675","SWANENERGY","Swan Energy Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","721","741.16","1902841.57","513767.22","NIFTY 500","16FEB2024"
"1676","SWARAJENG","Swaraj Engines Limited","false","Industrials","Capital Goods","Industrial Products","Compressors Pumps & Diesel Engines","2390","2384.01","290319.39","136450.12","NIFTY AUTO","16FEB2024"
"1677","SWELECTES","Swelect Energy Systems Limited","false","Industrials","Capital Goods","Electrical Equipment","Heavy Electrical Equipment","1072.95","1096.39","162645.92","69937.74","NIFTY 500","16FEB2024"
"1678","SWSOLAR","Sterling and Wilson Renewable Energy Limited","false","Industrials","Construction","Construction","Civil Construction","587.5","588.06","1368986.41","616043.89","","16FEB2024"
"1679","SYMPHONY","Symphony Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Consumer Electronics","913","914.23","629577.41","144802.8","NIFTY INDIA CONSUMPTION","16FEB2024"
"1680","SYNCOMF","Syncom Formulations (India) Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","15.3","15.3","143820","70471.8","","16FEB2024"
"1681","SYNGENE","Syngene International Limited","true","Healthcare","Healthcare","Healthcare Services","Healthcare Research Analytics & Technology","761.15","766.72","3059937.17","1376971.73","NIFTY 500","16FEB2024"
"1682","SYRMA","Syrma SGS Technology Limited","false","Industrials","Capital Goods","Industrial Manufacturing","Industrial Products","506.8","509.96","900001.19","288000.38","","16FEB2024"
"1683","TAINWALCHM","Tainwala Chemical and Plastic (I) Limited","false","Industrials","Capital Goods","Industrial Products","Plastic Products - Industrial","144.05","146.9","13488.64","4046.59","NIFTY 500","16FEB2024"
"1684","TAJGVK","Taj GVK Hotels & Resorts Limited","false","Consumer Discretionary","Consumer Services","Leisure Services","Hotels & Resorts","360.7","354.45","226164.29","54279.43","NIFTY SERVICES SECTOR","16FEB2024"
"1685","TAKE","Take Solutions Limited","false","Healthcare","Healthcare","Healthcare Services","Healthcare Research Analytics & Technology","30.55","30.41","45193.84","20789.17","NIFTY IT","16FEB2024"
"1686","TALBROAUTO","Talbros Automotive Components Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","287","282.34","177159.79","72635.51","NIFTY 500","16FEB2024"
"1687","TANLA","Tanla Platforms Limited","false","Information Technology","Information Technology","IT - Software","Software Products","1000","1004.93","1344598.6","712637.26","NIFTY IT","16FEB2024"
"1688","TARAPUR","Tarapur Transformers Limited","false","Industrials","Capital Goods","Electrical Equipment","Heavy Electrical Equipment","6.3","0","1228.5","0","NIFTY 500","16FEB2024"
"1689","TARC","Anant Raj Global Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","161","162.7","475105.1","161535.73","","16FEB2024"
"1690","TARMAT","Tarmat Limited","false","Industrials","Construction","Construction","Civil Construction","80","82.08","17051.4","9548.79","NIFTY INFRASTRUCTURE","16FEB2024"
"1691","TARSONS","Tarsons Products Limited","false","Healthcare","Healthcare","Healthcare Equipment & Supplies","Medical Equipment & Supplies","489","486.89","260178.71","75451.83","","16FEB2024"
"1692","TASTYBITE","Tasty Bite Eatables Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Food Products","Packaged Foods","12999","12948.78","333554.34","80053.04","NIFTY FMCG","16FEB2024"
"1693","TATACHEM","Tata Chemicals Limited","true","Commodities","Chemicals","Chemicals & Petrochemicals","Commodity Chemicals","972.65","975.05","2477886.94","1511511.03","NIFTY 500","16FEB2024"
"1694","TATACOMM","Tata Communications Limited","true","Telecommunication","Telecommunication","Telecom - Services","Telecom - Cellular & Fixed line services","1812","1801.42","5164200","2117322","NIFTY 500","16FEB2024"
"1695","TATACONSUM","TATA CONSUMER PRODUCTS LIMITED","true","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Agricultural Food & other Products","Tea & Coffee","1148.95","1143.58","10947595.62","7225413.11","","16FEB2024"
